Date,Newspaper,Headline,URL
07/07/26,The Daily Star,Jet fuel price drops by Tk 19.22 per litre for domestic airlines,https://www.thedailystar.net/news/environment/natural-resources/energy/news/jet-fuel-price-drops-tk-1922-litre-domestic-airlines-4218256
06/07/26,The Daily Star,Bangladesh looks for alternative LNG sources as QatarEnergy cuts 2026 deliveries,https://www.thedailystar.net/news/environment/natural-resources/energy/news/bangladesh-looks-alternative-lng-sources-qatarenergy-cuts-2026-deliveries-4217386
02/07/26,The Daily Star,12kg LPG cylinder Tk 357 cheaper in July,https://www.thedailystar.net/news/environment/natural-resources/energy/news/12kg-lpg-cylinder-sell-tk-1528-july-4214071
29/06/26,The Daily Star,‘My little son cries through the night’: Load shedding torments Chattogram families,https://www.thedailystar.net/news/environment/natural-resources/energy/news/my-little-son-cries-through-the-night-load-shedding-torments-chattogram-families-4211311
29/06/26,The Daily Star,Factories count losses as power cuts intensify in Gazipur,https://www.thedailystar.net/news/environment/natural-resources/energy/news/factories-count-losses-power-cuts-intensify-gazipur-4211276
28/06/26,The Daily Star,Two power plant shutdowns triggered load shedding: Energy minister,https://www.thedailystar.net/news/the-parliament-watch/parliament/news/two-power-plant-shutdowns-triggered-load-shedding-energy-minister-4210556
19/06/26,Prothom Alo,Will the agreement with the US resolve Bangladesh's energy crisis?,https://en.prothomalo.com/opinion/op-ed/efr6p4nyv5
18/04/26,Prothom Alo,Trade deal with the US undermines sovereignty of energy security: Debapriya,https://en.prothomalo.com/bangladesh/3ug3txv54i
14/04/26,Prothom Alo,"One vessel brings jet fuel, two more on the way with diesel",https://en.prothomalo.com/business/local/irp8xcsuxi
08/04/26,Prothom Alo,"Fuel crisis: Vehicle conversions to LPG, CNG on the rise",https://en.prothomalo.com/business/local/eq94g4dum2
07/04/26,Prothom Alo,What commercial banks should do to address the ongoing energy crisis,https://en.prothomalo.com/opinion/op-ed/xabmxh3bgq
05/04/26,Prothom Alo,Country now under strain of load shedding,https://en.prothomalo.com/video/vi6bzhoh7g
03/04/26,Prothom Alo,Priority-based management essential,https://en.prothomalo.com/bangladesh/6axwus4ivb
03/04/26,Prothom Alo,New office hours introduced to address energy crisis,https://en.prothomalo.com/video/0blllk7xpm
03/04/26,Prothom Alo,Not all additional costs are subsidies or losses,https://en.prothomalo.com/bangladesh/8a016n12gb
31/03/26,Prothom Alo,Certain advisers and special assistants were actually corporate lobbyists: Anu Muhammad,https://en.prothomalo.com/bangladesh/1m423i3gul
